idx,greenhouseId,time,measurementLine,sampleId,standardCategoryName,standardItemName,surveyItemName,unit,surveyItemValue
111,1,2024-11-01,1,1,steminfo,plantheight,초장,cm,23
111,1,2024-11-01,1,1,leafinfo,leaflength,엽장,cm,10
111,1,2024-11-01,1,1,leafinfo,leafwidth,엽폭,cm,6
111,1,2024-11-01,1,1,leafinfo,petiolelength,엽병장,cm,12
111,1,2024-11-01,1,1,leafinfo,leafnumber,엽수,개,7
111,1,2024-11-01,1,1,steminfo,crowndiameter,관부직경,cm,1.5
111,1,2024-11-01,1,1,plantobjectinfo,fruitingnumber,착과수,개,0
112,1,2024-11-01,1,2,steminfo,plantheight,초장,cm,29
112,1,2024-11-01,1,2,leafinfo,leaflength,엽장,cm,10
112,1,2024-11-01,1,2,leafinfo,leafwidth,엽폭,cm,6
112,1,2024-11-01,1,2,leafinfo,petiolelength,엽병장,cm,17
112,1,2024-11-01,1,2,leafinfo,leafnumber,엽수,개,5
112,1,2024-11-01,1,2,steminfo,crowndiameter,관부직경,cm,2
112,1,2024-11-01,1,2,plantobjectinfo,fruitingnumber,착과수,개,0
121,1,2024-11-01,2,1,steminfo,plantheight,초장,cm,28
121,1,2024-11-01,2,1,leafinfo,leaflength,엽장,cm,9
121,1,2024-11-01,2,1,leafinfo,leafwidth,엽폭,cm,7
121,1,2024-11-01,2,1,leafinfo,petiolelength,엽병장,cm,19
121,1,2024-11-01,2,1,leafinfo,leafnumber,엽수,개,7
121,1,2024-11-01,2,1,steminfo,crowndiameter,관부직경,cm,2
121,1,2024-11-01,2,1,plantobjectinfo,fruitingnumber,착과수,개,0
122,1,2024-11-01,2,2,steminfo,plantheight,초장,cm,31
122,1,2024-11-01,2,2,leafinfo,leaflength,엽장,cm,10
122,1,2024-11-01,2,2,leafinfo,leafwidth,엽폭,cm,9
122,1,2024-11-01,2,2,leafinfo,petiolelength,엽병장,cm,20
122,1,2024-11-01,2,2,leafinfo,leafnumber,엽수,개,6
122,1,2024-11-01,2,2,steminfo,crowndiameter,관부직경,cm,2
122,1,2024-11-01,2,2,plantobjectinfo,fruitingnumber,착과수,개,0
131,1,2024-11-01,3,1,steminfo,plantheight,초장,cm,26
131,1,2024-11-01,3,1,leafinfo,leaflength,엽장,cm,10
131,1,2024-11-01,3,1,leafinfo,leafwidth,엽폭,cm,7
131,1,2024-11-01,3,1,leafinfo,petiolelength,엽병장,cm,16
131,1,2024-11-01,3,1,leafinfo,leafnumber,엽수,개,5
131,1,2024-11-01,3,1,steminfo,crowndiameter,관부직경,cm,1.5
131,1,2024-11-01,3,1,plantobjectinfo,fruitingnumber,착과수,개,0
132,1,2024-11-01,3,2,steminfo,plantheight,초장,cm,28
132,1,2024-11-01,3,2,leafinfo,leaflength,엽장,cm,11
132,1,2024-11-01,3,2,leafinfo,leafwidth,엽폭,cm,7
132,1,2024-11-01,3,2,leafinfo,petiolelength,엽병장,cm,17
132,1,2024-11-01,3,2,leafinfo,leafnumber,엽수,개,5
132,1,2024-11-01,3,2,steminfo,crowndiameter,관부직경,cm,1.5
132,1,2024-11-01,3,2,plantobjectinfo,fruitingnumber,착과수,개,0
141,1,2024-11-01,4,1,steminfo,plantheight,초장,cm,24
141,1,2024-11-01,4,1,leafinfo,leaflength,엽장,cm,10
141,1,2024-11-01,4,1,leafinfo,leafwidth,엽폭,cm,8
141,1,2024-11-01,4,1,leafinfo,petiolelength,엽병장,cm,13
141,1,2024-11-01,4,1,leafinfo,leafnumber,엽수,개,7
141,1,2024-11-01,4,1,steminfo,crowndiameter,관부직경,cm,2
141,1,2024-11-01,4,1,plantobjectinfo,fruitingnumber,착과수,개,0
142,1,2024-11-01,4,2,steminfo,plantheight,초장,cm,24
142,1,2024-11-01,4,2,leafinfo,leaflength,엽장,cm,10
142,1,2024-11-01,4,2,leafinfo,leafwidth,엽폭,cm,9
142,1,2024-11-01,4,2,leafinfo,petiolelength,엽병장,cm,13
142,1,2024-11-01,4,2,leafinfo,leafnumber,엽수,개,6
142,1,2024-11-01,4,2,steminfo,crowndiameter,관부직경,cm,1.5
142,1,2024-11-01,4,2,plantobjectinfo,fruitingnumber,착과수,개,0
151,1,2024-11-01,5,1,steminfo,plantheight,초장,cm,24
151,1,2024-11-01,5,1,leafinfo,leaflength,엽장,cm,9
151,1,2024-11-01,5,1,leafinfo,leafwidth,엽폭,cm,6
151,1,2024-11-01,5,1,leafinfo,petiolelength,엽병장,cm,15
151,1,2024-11-01,5,1,leafinfo,leafnumber,엽수,개,8
151,1,2024-11-01,5,1,steminfo,crowndiameter,관부직경,cm,1.5
151,1,2024-11-01,5,1,plantobjectinfo,fruitingnumber,착과수,개,0
152,1,2024-11-01,5,2,steminfo,plantheight,초장,cm,25
152,1,2024-11-01,5,2,leafinfo,leaflength,엽장,cm,11
152,1,2024-11-01,5,2,leafinfo,leafwidth,엽폭,cm,10
152,1,2024-11-01,5,2,leafinfo,petiolelength,엽병장,cm,16
