set,farm_id,case_id,diagnosis_raw,diagnosis_normalized,period_start,period_end,score90_path,score90_chars
example_set,F420458,F420458_2025-02-16_2025-03-01,정상 운영입니다,정상_운영,2025-02-16,2025-03-01,datasets/agrichallenge/online2/answers/reference_answers/score90/F420458_answer.txt,1264
example_set,F385790,F385790_2025-03-20_2025-04-02,탄저병 발생 위험,탄저병_발생_위험,2025-03-20,2025-04-02,datasets/agrichallenge/online2/answers/reference_answers/score90/F385790_answer.txt,1637
example_set,F279269,F279269_2024-10-17_2024-10-30,영양생장 과다,영양생장_과다,2024-10-17,2024-10-30,datasets/agrichallenge/online2/answers/reference_answers/score90/F279269_answer.txt,1577
example_set,F662255,F662255_2025-02-05_2025-02-18,동해 (난방 실패),동해_난방실패,2025-02-05,2025-02-18,datasets/agrichallenge/online2/answers/reference_answers/score90/F662255_answer.txt,1605
example_set,F393975,F393975_2024-10-21_2024-11-03,뿌리 발육 부진,뿌리_발육_부진,2024-10-21,2024-11-03,datasets/agrichallenge/online2/answers/reference_answers/score90/F393975_answer.txt,1569
example_set,F538612,F538612_2025-01-05_2025-01-18,영양생장 부족,영양생장_부족,2025-01-05,2025-01-18,datasets/agrichallenge/online2/answers/reference_answers/score90/F538612_answer.txt,1540
example_set,F705994,F705994_2025-01-05_2025-01-18,잿빛곰팡이병 발생 위험,잿빛곰팡이병_발생_위험,2025-01-05,2025-01-18,datasets/agrichallenge/online2/answers/reference_answers/score90/F705994_answer.txt,1627
example_set,F194265,F194265_2024-10-23_2024-11-05,정상 운영입니다,정상_운영,2024-10-23,2024-11-05,datasets/agrichallenge/online2/answers/reference_answers/score90/F194265_answer.txt,1255
example_set,F773675,F773675_2024-10-29_2024-11-11,영양생장 과다,영양생장_과다,2024-10-29,2024-11-11,datasets/agrichallenge/online2/answers/reference_answers/score90/F773675_answer.txt,1548
example_set,F814133,F814133_2025-03-24_2025-04-06,기형과 생리장해,기형과_생리장해,2025-03-24,2025-04-06,datasets/agrichallenge/online2/answers/reference_answers/score90/F814133_answer.txt,1606
example_set,F332196,F332196_2025-03-08_2025-03-21,흰가루병 발생 위험,흰가루병_발생_위험,2025-03-08,2025-03-21,datasets/agrichallenge/online2/answers/reference_answers/score90/F332196_answer.txt,1608
example_set,F605134,F605134_2025-02-18_2025-03-03,잿빛곰팡이병 발생 위험,잿빛곰팡이병_발생_위험,2025-02-18,2025-03-03,datasets/agrichallenge/online2/answers/reference_answers/score90/F605134_answer.txt,1639
