schema_version,build_id,segment_id,event_id,event_kind,observation_timestamp,annotation_timestamp,timestamp_precision,time_rank,same_time_group_id,event_view,spatial_scope_type,spatial_scope_id,farm_ids,zone_ids,source_set,modalities,quality_flags,embedding_status
online2-v1,build_85c4aba3a72e0e321cfcf6af46eecd20a19a2c0a85fab2b70d0af677dd85840a,event_89fb0127a1ca8dd5758d11c0d4f677c6360636b3baaf335ea0ec833b15f0ec92,event_89fb0127a1ca8dd5758d11c0d4f677c6360636b3baaf335ea0ec833b15f0ec92,LOCAL_OBSERVATION,2025-02-15T15:00:00Z,,second,0,timegroup_e1cae694a853c3a28621f5c99b6ada496e0c394e4b7a0aeed61b9d3e58d8101f,A_actuator,FARM_ZONE,F420458:1,"[""F420458""]","[""1""]",example_set,"[""A_actuator""]",[],
online2-v1,build_85c4aba3a72e0e321cfcf6af46eecd20a19a2c0a85fab2b70d0af677dd85840a,event_1e8690b51f2245898f0323d555ee1fdb0e09d9d3cc4b21626e72ebf34825c392,event_1e8690b51f2245898f0323d555ee1fdb0e09d9d3cc4b21626e72ebf34825c392,LOCAL_OBSERVATION,2025-02-15T16:00:00Z,,second,0,timegroup_16f13d09809c34b542799ec8c9637c3953ad61ecf4782210d3239850dfe15066,A_actuator,FARM_ZONE,F420458:1,"[""F420458""]","[""1""]",example_set,"[""A_actuator""]",[],
online2-v1,build_85c4aba3a72e0e321cfcf6af46eecd20a19a2c0a85fab2b70d0af677dd85840a,event_6b92164076d1fb6e820d43f742b35b04e153afabaae5c282d9de48533f194f42,event_6b92164076d1fb6e820d43f742b35b04e153afabaae5c282d9de48533f194f42,LOCAL_OBSERVATION,2025-02-15T17:00:00Z,,second,0,timegroup_a428586de4f4078e14fed53f1c209483fd31fac1bded3608348c9220846a61a6,A_actuator,FARM_ZONE,F420458:1,"[""F420458""]","[""1""]",example_set,"[""A_actuator""]",[],
online2-v1,build_85c4aba3a72e0e321cfcf6af46eecd20a19a2c0a85fab2b70d0af677dd85840a,event_93504d07b80ab8f9a8f2a39da4e96af34f5fbe0abf9a4d7979535a41051bcafe,event_93504d07b80ab8f9a8f2a39da4e96af34f5fbe0abf9a4d7979535a41051bcafe,LOCAL_OBSERVATION,2025-02-15T18:00:00Z,,second,0,timegroup_88bc7017e814f46f2a951f9a3a6ab00a0680cc61967ae05c01beab9d705a62ba,A_actuator,FARM_ZONE,F420458:1,"[""F420458""]","[""1""]",example_set,"[""A_actuator""]",[],
online2-v1,build_85c4aba3a72e0e321cfcf6af46eecd20a19a2c0a85fab2b70d0af677dd85840a,event_bb9728570ee2a47685d07d2aeed99adb657ac50910b3c0bd993049d2c50f3fbe,event_bb9728570ee2a47685d07d2aeed99adb657ac50910b3c0bd993049d2c50f3fbe,LOCAL_OBSERVATION,2025-02-15T19:00:00Z,,second,0,timegroup_18329a2498815f1c7fa31014ed83dd1116718e9c44e3578fe0793cfd4b96bca9,A_actuator,FARM_ZONE,F420458:1,"[""F420458""]","[""1""]",example_set,"[""A_actuator""]",[],
online2-v1,build_85c4aba3a72e0e321cfcf6af46eecd20a19a2c0a85fab2b70d0af677dd85840a,event_996e7efd6baa5bdff839a8d8baf91634a2c5b6905a75c2525403d576c9a73343,event_996e7efd6baa5bdff839a8d8baf91634a2c5b6905a75c2525403d576c9a73343,LOCAL_OBSERVATION,2025-02-15T20:00:00Z,,second,0,timegroup_4c693156b377ff44b1692a2a2b21e1e9e2ee993f31d8fc01084d1ef63438323d,A_actuator,FARM_ZONE,F420458:1,"[""F420458""]","[""1""]",example_set,"[""A_actuator""]",[],
online2-v1,build_85c4aba3a72e0e321cfcf6af46eecd20a19a2c0a85fab2b70d0af677dd85840a,event_e3d573ae5685bdb39ea42f23ca782a365b67e6edc7d460b59f0396af24ba246e,event_e3d573ae5685bdb39ea42f23ca782a365b67e6edc7d460b59f0396af24ba246e,LOCAL_OBSERVATION,2025-02-15T21:00:00Z,,second,0,timegroup_bb532566fbb73aa8990f77cc012c66b2f48a645779263a121db630ac2e68fad4,A_actuator,FARM_ZONE,F420458:1,"[""F420458""]","[""1""]",example_set,"[""A_actuator""]",[],
online2-v1,build_85c4aba3a72e0e321cfcf6af46eecd20a19a2c0a85fab2b70d0af677dd85840a,event_c9a13ceebf7559965b02c4e809b911f5ed6e0b79ffed7c649381bd77f111b6c6,event_c9a13ceebf7559965b02c4e809b911f5ed6e0b79ffed7c649381bd77f111b6c6,LOCAL_OBSERVATION,2025-02-15T22:00:00Z,,second,0,timegroup_e52242880ccebfecc0a3275380b61e0d3a5f575f5492701d5556f341ad636f5b,A_actuator,FARM_ZONE,F420458:1,"[""F420458""]","[""1""]",example_set,"[""A_actuator""]",[],
online2-v1,build_85c4aba3a72e0e321cfcf6af46eecd20a19a2c0a85fab2b70d0af677dd85840a,event_d34de17c99e35ecf13a1924189b339b62ec14e59e43c30dc74e58d33f53474b6,event_d34de17c99e35ecf13a1924189b339b62ec14e59e43c30dc74e58d33f53474b6,LOCAL_OBSERVATION,2025-02-15T23:00:00Z,,second,0,timegroup_1fe391336f05e3485f0486f3a266523fc9f913acfccdd4525e0b6d8aa3ca2f84,A_actuator,FARM_ZONE,F420458:1,"[""F420458""]","[""1""]",example_set,"[""A_actuator""]",[],
online2-v1,build_85c4aba3a72e0e321cfcf6af46eecd20a19a2c0a85fab2b70d0af677dd85840a,event_b546dc74ea77c215bc06cb49766bd372fb92adf0adb2249770dbf5f1871a907f,event_b546dc74ea77c215bc06cb49766bd372fb92adf0adb2249770dbf5f1871a907f,LOCAL_OBSERVATION,2025-02-16T00:00:00Z,,second,0,timegroup_37a9272db2719fb2dbd5d11d6c1befca8f31800cf49d14817dd2cc434ca52845,A_actuator,FARM_ZONE,F420458:1,"[""F420458""]","[""1""]",example_set,"[""A_actuator""]",[],
