feature,tokenization_kind,scope_id,constant_type,semantic_class,edge_value,observed_unique_values,n_cells,static_metadata_candidate,remove_from_repeat_tokens_candidate,not_installed_asserted,notes
circulation_fan,FARM_REL,F152840,FARM_CONSTANT,ALWAYS_OFF,0.0,0.0,1344,True,False,False,NOT_INSTALLED never inferred without installation evidence
circulation_fan,FARM_REL,F302129,FARM_CONSTANT,ALWAYS_OFF,0.0,0.0,1344,True,False,False,NOT_INSTALLED never inferred without installation evidence
circulation_fan,FARM_REL,F332196,FARM_CONSTANT,ALWAYS_OFF,0.0,0.0,1344,True,False,False,NOT_INSTALLED never inferred without installation evidence
circulation_fan,FARM_REL,F385790,FARM_CONSTANT,ALWAYS_OFF,0.0,0.0,1344,True,False,False,NOT_INSTALLED never inferred without installation evidence
circulation_fan,FARM_REL,F605134,FARM_CONSTANT,ALWAYS_OFF,0.0,0.0,1344,True,False,False,NOT_INSTALLED never inferred without installation evidence
circulation_fan,FARM_REL,F705994,FARM_CONSTANT,ALWAYS_OFF,0.0,0.0,1344,True,False,False,NOT_INSTALLED never inferred without installation evidence
circulation_fan,FARM_REL,F854780,FARM_CONSTANT,ALWAYS_OFF,0.0,0.0,1344,True,False,False,NOT_INSTALLED never inferred without installation evidence
circulation_fan,FARM_REL,F882016,FARM_CONSTANT,ALWAYS_OFF,0.0,0.0,1344,True,False,False,NOT_INSTALLED never inferred without installation evidence
circulation_fan,FARM_REL,F968401,FARM_CONSTANT,ALWAYS_OFF,0.0,0.0,1344,True,False,False,NOT_INSTALLED never inferred without installation evidence
circulation_fan,FARM_REL,F972654,FARM_CONSTANT,ALWAYS_OFF,0.0,0.0,1344,True,False,False,NOT_INSTALLED never inferred without installation evidence
flower_truss_order,FARM_REL,F241573,FARM_CONSTANT,ALWAYS_OFF,0.0,0.0,8,True,False,False,NOT_INSTALLED never inferred without installation evidence
flower_truss_order,FARM_REL,F295998,FARM_CONSTANT,ALWAYS_OFF,0.0,0.0,8,True,False,False,NOT_INSTALLED never inferred without installation evidence
flower_truss_order,FARM_REL,F302129,FARM_CONSTANT,NO_VARIATION_IN_PERIOD,1.0,1.0,8,True,False,False,NOT_INSTALLED never inferred without installation evidence
flower_truss_order,FARM_REL,F385790,FARM_CONSTANT,NO_VARIATION_IN_PERIOD,1.0,1.0,8,True,False,False,NOT_INSTALLED never inferred without installation evidence
flower_truss_order,FARM_REL,F393975,FARM_CONSTANT,ALWAYS_OFF,0.0,0.0,8,True,False,False,NOT_INSTALLED never inferred without installation evidence
flower_truss_order,FARM_REL,F536515,FARM_CONSTANT,ALWAYS_OFF,0.0,0.0,8,True,False,False,NOT_INSTALLED never inferred without installation evidence
flower_truss_order,FARM_REL,F538612,FARM_CONSTANT,ALWAYS_OFF,0.0,0.0,8,True,False,False,NOT_INSTALLED never inferred without installation evidence
flower_truss_order,FARM_REL,F551358,FARM_CONSTANT,ALWAYS_OFF,0.0,0.0,8,True,False,False,NOT_INSTALLED never inferred without installation evidence
flower_truss_order,FARM_REL,F584775,FARM_CONSTANT,ALWAYS_OFF,0.0,0.0,8,True,False,False,NOT_INSTALLED never inferred without installation evidence
flower_truss_order,FARM_REL,F718361,FARM_CONSTANT,NO_VARIATION_IN_PERIOD,1.0,1.0,8,True,False,False,NOT_INSTALLED never inferred without installation evidence
flower_truss_order,FARM_REL,F760592,FARM_CONSTANT,ALWAYS_OFF,0.0,0.0,8,True,False,False,NOT_INSTALLED never inferred without installation evidence
flower_truss_order,FARM_REL,F844403,FARM_CONSTANT,NO_VARIATION_IN_PERIOD,1.0,1.0,8,True,False,False,NOT_INSTALLED never inferred without installation evidence
flower_truss_order,FARM_REL,F854447,FARM_CONSTANT,NO_VARIATION_IN_PERIOD,1.0,1.0,8,True,False,False,NOT_INSTALLED never inferred without installation evidence
