feature_name,feature_alias,source_column,source_file_family,event_view,raw_type,proposed_v2_type,candidate_unit,canonical_unit,unit_confidence,unit_evidence,raw_min,raw_max,p01,p05,p25,p50,p75,p95,p99,unique_count,zero_count,positive_count,negative_count,null_count,farm_constant_count,globally_constant,threshold_ready,state_mapping_ready,noise_epsilon_ready,quality_flags
circulation_fan,CIRCULATION_FAN,circulation_fan,A_actuator,A_actuator,int,boolean,device_code_or_binary,unresolved,LOW,code_meaning_not_confirmed_in_codebook,0.0,201.0,0.0,0.0,0.0,0.0,0.0,201.0,201.0,2.0,59342,14578,0,0,10,False,False,True,True,ZERO_POS_MIX;UNIT_UNRESOLVED
co2_ppm,CO2_PPM,co2_ppm,E_environment,E_environment,float,continuous,ppm,ppm,HIGH,column_suffix:_ppm,215.149,2025.135,257.53583,308.233,367.696,407.6225,442.228,494.9967500000002,573.3744699999984,21140.0,0,73920,0,0,0,False,True,False,False,
co2_supply,CO2_SUPPLY,co2_supply,A_actuator,A_actuator,int,boolean,device_code_or_binary,unresolved,LOW,code_meaning_not_confirmed_in_codebook,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,2.0,72671,1249,0,0,0,False,False,True,True,ZERO_POS_MIX;UNIT_UNRESOLVED
crown_diameter_mm,CROWN_DIAMETER_MM,crown_diameter_mm,G_growth,G_growth,float,continuous,mm,mm,HIGH,column_suffix:_mm,5.92,23.26,7.2812,8.507,14.03,15.79,16.75225,18.593499999999995,20.78893,331.0,0,440,0,0,0,False,True,False,False,
ec_sensor,EC_SENSOR,ec_sensor,A_actuator,R_rootzone,float,continuous,dS/m,dS/m,HIGH,column_name:_ds_m/ec,0.0,2.924,0.0,0.2,0.9,1.1,1.4,1.5,1.6,1270.0,1429,72491,0,0,0,False,True,False,False,ZERO_POS_MIX
farm_id,FARM_ID,farm_id,A_actuator,E_environment,string,identifier,n/a,n/a,CONFIRMED,identity_or_time_column,,,,,,,,,,0.0,0,0,0,0,0,False,False,False,False,
fcu_fan,FCU_FAN,fcu_fan,A_actuator,A_actuator,int,boolean,device_code_or_binary,unresolved,LOW,code_meaning_not_confirmed_in_codebook,0.0,201.0,0.0,0.0,0.0,0.0,0.0,201.0,201.0,2.0,58608,15312,0,0,0,False,False,True,True,ZERO_POS_MIX;UNIT_UNRESOLVED
fcu_pump,FCU_PUMP,fcu_pump,A_actuator,A_actuator,int,boolean,device_code_or_binary,unresolved,LOW,code_meaning_not_confirmed_in_codebook,0.0,201.0,0.0,0.0,0.0,0.0,0.0,201.0,201.0,2.0,58428,15492,0,0,0,False,False,True,True,ZERO_POS_MIX;UNIT_UNRESOLVED
flower_truss_order,FLOWER_TRUSS_ORDER,flower_truss_order,G_growth,G_growth,int,counter,count,count,HIGH,counter_or_ordinal_name,0.0,3.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,4.0,107,333,0,0,17,False,True,False,False,ZERO_POS_MIX
inside_humidity_pct,INSIDE_HUMIDITY_PCT,inside_humidity_pct,E_environment,E_environment,float,continuous,%,%,HIGH,column_suffix_or_name:_pct/humidity,18.483,100.0,41.673,51.01795,65.683,75.23349999999999,85.733,95.89620000000001,100.0,21507.0,0,73920,0,0,0,False,True,False,False,
