image_id,source_path,file_exists,decode_valid,file_size,width,height,format,EXIF_orientation,content_hash,duplicate_hash_count,farm_id,zone_id,capture_timestamp,timestamp_precision,alignment_policy,alignment_confidence,image_role_candidate,embedding_status
event_0687e4ea94f708aecfab90cd520e3df55f235dc36c3bed74b648d15ee9c9030c,data/I_images/F130230/image_001.jpg,True,True,28176,384,288,JPEG,,f9bd2d5acd155dc0dce24bb48a8e10af84bacb0c7427252dfbd4d4e7842c2b4f,1,F130230,,,period,case_period_end,LOW,UNRESOLVED,pending
event_c860915f85fc8a4b0de9da444b532df047969f80e9a3c94d7b1c6ebe02ea494c,data/I_images/F135380/image_001.jpg,True,True,14223,327,188,JPEG,,c6e6a8470524780d7dab187ffc10f11ab93dfb74b6303389b52230aee8ef6c58,1,F135380,,,period,case_period_end,LOW,UNRESOLVED,pending
event_736d340393bd5403c1eec6f3132349c255107aacd88ae914cb54fdd8d59cdd4f,data/I_images/F135380/image_003.jpg,True,True,16764,306,204,JPEG,,aa542d1e9564ec5b61131240b231d07f12d027a992d8d356e6663b7dd4b22da1,1,F135380,,,period,case_period_end,LOW,UNRESOLVED,pending
event_d0f82218e30889f9b96a758e16428cd6b5e79ddad509fe0a6966b1c033d34a9b,data/I_images/F152840/image_001.jpg,True,True,16026,306,204,JPEG,,c168e5d02c891f1e707dc94bf313ef6adcdaf1eecf80b3393a7723463768e700,1,F152840,,,period,case_period_end,LOW,UNRESOLVED,pending
event_73360b4743ba5481cad44e97a7e1f524261a6950e63d2779eece142839db01f1,data/I_images/F152840/image_002.jpg,True,True,17516,308,234,JPEG,,c4a417bbcaaf54bd87dc886be2cea314e8fe0c1e36531ab0468e559691b88750,1,F152840,,,period,case_period_end,LOW,UNRESOLVED,pending
event_f703341a93b6bef0406c6c40ffbf708bc85eb2e3914335329cb1779013697f4c,data/I_images/F152840/image_003.jpg,True,True,11586,311,180,JPEG,,fbe8f0caaaa471c51b64611b1d26a7184eb9b5b7b8ab3dedf05e637714b09955,1,F152840,,,period,case_period_end,LOW,UNRESOLVED,pending
event_c44df66e7751fc8cc4fa2e9b7f3d01101d3ad1f3593827556c941fae686b300c,data/I_images/F155481/image_003.jpg,True,True,15474,300,204,JPEG,,1b31f182a1a4b472ae6e80526ffd9437c7dc63e68c07931bd856f1145942f42b,1,F155481,,,period,case_period_end,LOW,UNRESOLVED,pending
event_db576c108ae0d204c2b7c9e6085699be92110809a384784a8d67cf61a71089b2,data/I_images/F188026/image_001.jpg,True,True,19875,300,204,JPEG,,703d30f4509e15e8c7f17387096aa3cdaee8919cb76ac0896556e990ba48155b,1,F188026,,,period,case_period_end,LOW,UNRESOLVED,pending
event_c30f0e253b3e169b0b1ace95be31830b8e4f860958d43288f7f4180a075c196a,data/I_images/F188310/image_002.jpg,True,True,19138,304,235,JPEG,,ca90c521d17f336507ea3d2b781e745c2b94ad71c63022cba95d90f0b87fba81,1,F188310,,,period,case_period_end,LOW,UNRESOLVED,pending
event_3b824f0552b3da4c55121c44b84f7aa4520250e1c8404919da1e18372271b602,data/I_images/F194265/image_001.jpg,True,True,16831,304,193,JPEG,,330f03bc91f2cb2ae9816b4d60d413cce02d11b8352e40b8c237892440e71110,1,F194265,,,period,case_period_end,LOW,UNRESOLVED,pending
