token_family,n_tokens,random_replacement_allowed_legacy
NARRATIVE,80,True
CROWN_DIAMETER_MM,30,True
INSIDE_HUMIDITY_PCT,30,True
INSIDE_TEMP_C,30,True
LEAF_LENGTH_CM,30,True
OUTSIDE_HUMIDITY_PCT,30,True
OUTSIDE_SOLAR_RADIATION,30,True
OUTSIDE_TEMP_C,30,True
SUBSTRATE_EC_DS_M,30,True
SUBSTRATE_TEMP_C,30,True
SUBSTRATE_WATER_CONTENT_PCT,30,True
WIND_DIRECTION_DEG,30,True
WIND_SPEED_M_S,30,True
CO2_PPM,29,True
EC_SENSOR,28,True
LEAF_WIDTH_CM,28,True
PETIOLE_LENGTH_CM,28,True
PH_SENSOR,28,True
PLANT_HEIGHT_CM,27,True
UNOPENED_FLOWER_COUNT,27,True
LEAF_COUNT,25,True
HOUR,24,True
THERMAL_CURTAIN,24,True
TOTAL_FLOW_RATE,24,True
ROOF_VENT_LEFT,23,True
ROOF_VENT_RIGHT,23,True
LINE_FLOW_RATE,22,True
SHADE_SCREEN,21,True
OPENED_FLOWER_COUNT,18,True
RAIN_DETECTED,15,True
FLOWER_TRUSS_ORDER,13,True
NUTRIENT_SOLUTION_SYSTEM,12,True
CATEGORY,6,True
EVENT_VIEW,6,True
ALIGNMENT_POLICY,5,True
CIRCULATION_FAN,5,True
ORDER_SEMANTICS,5,True
CO2_SUPPLY,4,True
FCU_FAN,4,True
FCU_PUMP,4,True
TUBE_RAIL,3,True
TIMESTAMP_PRECISION,2,True
TIME_RESOLUTION,2,True
DATASET,1,True
OBSERVATION_DATE,1,True
SCHEMA,1,True
DISEASE,0,False
DIAGNOSIS,0,False
