token_family,in_random_replacement_pool
ALIGNMENT_POLICY,True
CATEGORY,True
CIRCULATION_FAN,True
CO2_PPM,True
CO2_SUPPLY,True
CROWN_DIAMETER_MM,True
DATASET,True
EC_SENSOR,True
EVENT_VIEW,True
FCU_FAN,True
FCU_PUMP,True
FLOWER_TRUSS_ORDER,True
HOUR,True
INSIDE_HUMIDITY_PCT,True
INSIDE_TEMP_C,True
LEAF_COUNT,True
LEAF_LENGTH_CM,True
LEAF_WIDTH_CM,True
LINE_FLOW_RATE,True
NARRATIVE,True
NUTRIENT_SOLUTION_SYSTEM,True
OBSERVATION_DATE,True
OPENED_FLOWER_COUNT,True
ORDER_SEMANTICS,True
OUTSIDE_HUMIDITY_PCT,True
OUTSIDE_SOLAR_RADIATION,True
OUTSIDE_TEMP_C,True
PETIOLE_LENGTH_CM,True
PH_SENSOR,True
PLANT_HEIGHT_CM,True
RAIN_DETECTED,True
ROOF_VENT_LEFT,True
ROOF_VENT_RIGHT,True
SCHEMA,True
SHADE_SCREEN,True
SUBSTRATE_EC_DS_M,True
SUBSTRATE_TEMP_C,True
SUBSTRATE_WATER_CONTENT_PCT,True
THERMAL_CURTAIN,True
TIMESTAMP_PRECISION,True
TIME_RESOLUTION,True
TOTAL_FLOW_RATE,True
TUBE_RAIL,True
UNOPENED_FLOWER_COUNT,True
WIND_DIRECTION_DEG,True
WIND_SPEED_M_S,True
