event_id,splits
event_0534bfe4bc9bc8441cc55e13e548a464d54aae925159688f0365fbc18f5eebc0,"test,train"
event_06cbc93a5de6cf78f0cb6200d3e3ba42eff7ce7dcbe4b4764212e4668f2f878f,"train,val"
event_2c145daf424091919e769b74bde3fb04a86cfef496903fe0c93ef877fec2a068,"train,val"
event_333d8f115319ea68d16ff5e5b7ecd16ce2481a43b9abc713c89d9e8a231e443c,"train,val"
event_3ac2f3f9a5c996a20cb7d61a3d438669cf40a4f5b1c0d9618edbc4d582b08fad,"train,val"
event_6fdd5ff101c6ae98afc78803e19820468b3a525cabf11476d167b2b5c233f954,"train,val"
event_71b33cacbc74b37b6d11eb0b119b6fb698c4f2ad23404932471c6fe016c67731,"test,train"
event_78bbbad67bf695d9e02b18560e5f2d306c8280c7bbbc8fa2ff88cd1f20b71e63,"test,train"
event_83a5206e69a0aac94f648aac0680078c64d5111bcf3edea1848882f4677ea7ae,"test,train"
event_89344a1670ab00bd27f06ca49c3bc9b6a0da8ee8eeadb50f92a8bdaaa831c28f,"train,val"
event_9bfd8830d7693915c840277dc16f0d361a68881994df2e1fdf5b307e14db3285,"train,val"
event_a0af79ff9155a1ba824f09cc101c2e90b1e1320891a1506f0255a40a2feee9fd,"train,val"
event_a26ac1669e10f6268a9648ae824806ed172951bca86ea126c232d2f7efced493,"test,train"
event_a7fc54bd65b0673b39bba0447103ecd168e36b6b646fe2d60dbcdb1c86576a74,"test,train"
event_b363d9fd777ef8702ca1870783104536c89823182b6ef067c27b7b5e79c93b01,"train,val"
event_bea2e4ccec7c93da7f2fe990d7a252bb08d94bce08855c44027e08d310f40936,"train,val"
event_de3152c1f293161d91bbf2c9e4f9cce6ad5ed6bc0d6eb74ad8c2439de617bc23,"test,train"
event_e48713b60046e5a5fd8e209aeac1bb27853d1be9f4b83735849d723bb34718f3,"test,train"
event_f68c0648bdd868880e7b98e28bd0c7a12092bd233ac7cd9ca21bee58f128652a,"train,val"
event_fd5a14ba78a211b70641e6bcf8bb01b663b41822b0705483890109b65f919a97,"train,val"
